symbol,address,decimals,chainId,dune
LINK,0x685cE6742351ae9b618F383883D6d1e0c5A31B4B,18,17000,
WETH,0x94373a4919b3240d86ea41593d5eba789fef3848,18,17000,
ETH,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18,17000,
USDC,0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238,6,11155111,
LINK,0x779877A7B0D9E8603169DdbD7836e478b4624789,18,11155111,
EURC,0x08210F9170F89Ab7658F0B5E3fF39b0E03C594D4,6,11155111,
WETH,0x7b79995e5f793A07Bc00c21412e50Ecae098E7f9,18,11155111,
uniBTCd,0x4De059786Cc7EB19FB6717AF8Bc232a3eBEfE243,18,11155111,
ETH,0x6e6174697665,18,11155111,
OKB,0x3f4b6664338f23d2397c953f2ab4ce8031663f80,18,11155111,
UNO,muno,6,union-testnet-9,
CLOWN,factory/union12qdvmw22n72mem0ysff3nlyj2c76cuy4x60lua/clown,6,union-testnet-9,
OSMO,uosmo,6,osmo-test-5,
ION,uion,6,osmo-test-5,
ATOM,ibc/9FF2B7A5F55038A7EE61F4FD6749D9A648B48E89830F2682B67B5DC158E2753C,6,osmo-test-5,
AKT,ibc/AD59D59CFB0E628E73C798415F823AB5B6257C2FE4BF67DBB5D6A677B2686E82,6,osmo-test-5,
aUSDC.axl,ibc/2164BDB48DE5501430E71286448D87C6D2240EC0E078CF113CAB85E21A352BB0,6,osmo-test-5,
UNO,muno,6,union-testnet-8,
LINK,factory/union1eumfw2ppz8cwl8xdh3upttzp5rdyms48kqhm30f8g9u4zwj0pprqg2vmu3/0xbf41fec2bba5519a54171fc02966728e29e3d18adc,0,union-testnet-8,
USDC,factory/union1eumfw2ppz8cwl8xdh3upttzp5rdyms48kqhm30f8g9u4zwj0pprqg2vmu3/0xf9723da2b63f6b412046c5da3aafa5e7a26876ba33,0,union-testnet-8,
STARS,ustars,6,elgafar-1,
OM,factory/stars153w5xhuqu3et29lgqk4dsynj6gjn96lr33wx4e/uom,6,elgafar-1,
TIA,factory/stars153w5xhuqu3et29lgqk4dsynj6gjn96lr33wx4e/utia,6,elgafar-1,
bglUSDC,factory/stars142fm3lhv2x9ymvv8ze2udefec4wpf0czv4dsgjn0vmccmdt09tcqzt2ghk/bglUSDC,6,elgafar-1,
ATOM,factory/stars153w5xhuqu3et29lgqk4dsynj6gjn96lr33wx4e/uatom,6,elgafar-1,
WETH,0x4200000000000000000000000000000000000006,18,60808,
WBTC,0x03C7054BCB39f7b2e5B2c7AcB37583e32D70Cfa3,8,60808,
